experiment_id,model,exact_boundary_accuracy,gold_span_count,line_f1,line_precision,line_recall,mean_inclusive_iou,predicted_span_count,sample_count,span_f1,span_precision,span_recall,metadata_json
bgl-2k-random-decision_tree,decision_tree,0.0,11,0.0,0.0,0.0,0.0,2,13,0.0,0.0,0.0,"{""feature_count"": 6, ""seed"": 20260711, ""threshold"": 1.0, ""validation_sample_count"": 13}"
bgl-2k-random-isolation_forest,isolation_forest,0.45454545454545453,11,0.3076923076923077,0.32558139534883723,0.2916666666666667,0.7703703703703704,20,13,0.5806451612903226,0.45,0.8181818181818182,"{""feature_count"": 6, ""seed"": 20260711, ""threshold"": 0.5103646968037591, ""validation_sample_count"": 13}"
bgl-2k-random-neural-weighted,neural_cnn_bigru,0.0,11,0.29357798165137616,0.26229508196721313,0.3333333333333333,0.35833333333333334,26,13,0.16216216216216214,0.11538461538461539,0.2727272727272727,"{""best_validation_loss"": 1.0387351512908936, ""device"": ""cpu"", ""elapsed_seconds"": 1.116638199891895, ""epochs_trained"": 5, ""global_class_weights"": [1.1715729236602783, 0.8284271359443665], ""seed"": 20260711, ""temperature"": 0.3646332368608554, ""threshold"": 0.07188967956263675, ""validation_sample_count"": 13}"
bgl-2k-random-rarity,rarity,0.0,11,0.09580838323353294,0.055944055944055944,0.3333333333333333,0.21527777777777776,44,13,0.10909090909090909,0.06818181818181818,0.2727272727272727,"{""feature_count"": 1, ""seed"": 20260711, ""threshold"": 2087.0, ""validation_sample_count"": 13}"
bgl-2k-random-tfidf_logistic,tfidf_logistic,0.2727272727272727,11,0.8571428571428571,1.0,0.75,0.875,4,13,0.5333333333333333,1.0,0.36363636363636365,"{""feature_count"": 1322, ""seed"": 20260711, ""threshold"": 0.7578749067311248, ""validation_sample_count"": 13}"
