experiment_id,model,anomalous_sample_count,f1,false_negative,false_positive,false_positive_rate,pr_auc,precision,recall,roc_auc,sample_count,true_negative,true_positive,metadata_json
hdfs-100k-chronological-decision_tree,decision_tree,91,0.5555555555555556,56,0,0.0,0.4549184094270249,1.0,0.38461538461538464,0.6949613512739765,1588,1497,35,"{""feature_count"": 8, ""seed"": 20260711, ""threshold"": 1.0, ""validation_sample_count"": 1588}"
hdfs-100k-chronological-isolation_forest,isolation_forest,91,0.6713286713286714,43,4,0.0026720106880427524,0.6185202742097645,0.9230769230769231,0.5274725274725275,0.7437806014960324,1588,1493,48,"{""feature_count"": 8, ""seed"": 20260711, ""threshold"": 0.6335135090429045, ""validation_sample_count"": 1588}"
hdfs-100k-chronological-neural,neural_cnn_bigru,91,0.5693430656934306,52,7,0.004676018704074816,0.5536494196486468,0.8478260869565217,0.42857142857142855,0.7767182717082517,1588,1490,39,"{""best_validation_loss"": 0.31600658550858496, ""device"": ""cpu"", ""elapsed_seconds"": 30.67857600003481, ""epochs_trained"": 4, ""global_class_weights"": [1.6901246309280396, 0.30987533926963806], ""seed"": 20260711, ""temperature"": 0.7071067811865475, ""threshold"": 0.08553764322481654, ""validation_sample_count"": 1588}"
hdfs-100k-chronological-rarity,rarity,91,0.2585278276481149,19,394,0.2631930527722111,0.18520040770376828,0.15450643776824036,0.7912087912087912,0.8045761853377085,1588,1103,72,"{""feature_count"": 1, ""seed"": 20260711, ""threshold"": 425.7142857142857, ""validation_sample_count"": 1588}"
hdfs-100k-chronological-tfidf_logistic,tfidf_logistic,91,0.5203252032520326,59,0,0.0,0.5746369073051322,1.0,0.3516483516483517,0.8917505340351032,1588,1497,32,"{""feature_count"": 206, ""seed"": 20260711, ""threshold"": 0.8965637014269541, ""validation_sample_count"": 1588}"
