experiment_id,model,anomalous_sample_count,f1,false_negative,false_positive,false_positive_rate,pr_auc,precision,recall,roc_auc,sample_count,true_negative,true_positive,metadata_json
hdfs-100k-template-isolated-decision_tree,decision_tree,50,0.5074626865671642,33,0,0.0,0.4407319111548087,1.0,0.34,0.8009215686274509,1580,1530,17,"{""feature_count"": 8, ""seed"": 20260711, ""threshold"": 1.0, ""validation_sample_count"": 1234}"
hdfs-100k-template-isolated-isolation_forest,isolation_forest,50,0.5,33,1,0.00065359477124183,0.3802990827589685,0.9444444444444444,0.34,0.6196862745098038,1580,1529,17,"{""feature_count"": 8, ""seed"": 20260711, ""threshold"": 0.6991728707603808, ""validation_sample_count"": 1234}"
hdfs-100k-template-isolated-neural,neural_cnn_bigru,50,0.41379310344827586,32,19,0.01241830065359477,0.49781129378907024,0.4864864864864865,0.36,0.8886339869281047,1580,1511,18,"{""best_validation_loss"": 0.2398028265684843, ""device"": ""cpu"", ""elapsed_seconds"": 37.66676239995286, ""epochs_trained"": 5, ""global_class_weights"": [1.6437935829162598, 0.356206476688385], ""seed"": 20260711, ""temperature"": 0.6617929360723882, ""threshold"": 0.43101297490109347, ""validation_sample_count"": 1234}"
hdfs-100k-template-isolated-rarity,rarity,50,0.06134969325153374,0,1530,1.0,0.03164556962025317,0.03164556962025317,1.0,0.5,1580,0,50,"{""feature_count"": 1, ""seed"": 20260711, ""threshold"": 5963.0, ""validation_sample_count"": 1234}"
hdfs-100k-template-isolated-tfidf_logistic,tfidf_logistic,50,0.5,31,7,0.004575163398692811,0.5142399881959487,0.7307692307692307,0.38,0.8609673202614379,1580,1523,19,"{""feature_count"": 235, ""seed"": 20260711, ""threshold"": 0.7971345571446721, ""validation_sample_count"": 1234}"
